supplier_id,dc_id,distance_km,cost_nonrefrig_per_unit,refrig_premium_per_unit,total_cost_refrig_per_unit,emit_nonrefrig_kgco2_per_unit,emit_refrig_kgco2_per_unit,travel_time_hrs,decay_nonrefrig,decay_refrig
S01,D001,120.15,4.806,3.3642,8.1702,0.007449,0.012616,2.18,0.1848,0.0206
S01,D002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02
S01,D003,620.14,24.8056,17.3639,42.1695,0.038449,0.065115,11.28,0.2048,0.0231
S01,D004,164.4,6.576,4.6032,11.1792,0.010193,0.017262,2.99,0.1866,0.0208
S01,D005,217.02,8.6808,6.0766,14.7574,0.013455,0.022787,3.95,0.1887,0.0211
S01,D006,205.98,8.2392,5.7674,14.0066,0.012771,0.021628,3.75,0.1882,0.021
S01,D007,236.84,9.4736,6.6315,16.1051,0.014684,0.024868,4.31,0.1895,0.0212
S01,D008,487.98,19.5192,13.6634,33.1826,0.030255,0.051238,8.87,0.1995,0.0224
S01,D009,1176.73,47.0692,32.9484,80.0176,0.072957,0.123557,21.4,0.2271,0.0259
S01,D010,1104.03,44.1612,30.9128,75.074,0.06845,0.115923,20.07,0.2242,0.0255
S01,D011,1052.09,42.0836,29.4585,71.5421,0.06523,0.110469,19.13,0.2221,0.0253
S01,D012,1205.82,48.2328,33.763,81.9958,0.074761,0.126611,21.92,0.2282,0.026
S01,D013,1126.33,45.0532,31.5372,76.5904,0.069832,0.118265,20.48,0.2251,0.0256
S01,D014,1227.47,49.0988,34.3692,83.468,0.076103,0.128884,22.32,0.2291,0.0261
S01,D015,1233.21,49.3284,34.5299,83.8583,0.076459,0.129487,22.42,0.2293,0.0262
S01,D016,1338.11,53.5244,37.4671,90.9915,0.082963,0.140502,24.33,0.2335,0.0267
S01,D017,1128.49,45.1396,31.5977,76.7373,0.069966,0.118491,20.52,0.2251,0.0256
S01,D018,1251.38,50.0552,35.0386,85.0938,0.077586,0.131395,22.75,0.2301,0.0263
S01,D019,914.36,36.5744,25.6021,62.1765,0.05669,0.096008,16.62,0.2166,0.0246
S01,D020,898.33,35.9332,25.1532,61.0864,0.055696,0.094325,16.33,0.2159,0.0245
S01,D021,1060.24,42.4096,29.6867,72.0963,0.065735,0.111325,19.28,0.2224,0.0253
S01,D022,1005.12,40.2048,28.1434,68.3482,0.062317,0.105538,18.27,0.2202,0.025
S01,D023,890.47,35.6188,24.9332,60.552,0.055209,0.093499,16.19,0.2156,0.0245
S01,D024,1168.83,46.7532,32.7272,79.4804,0.072467,0.122727,21.25,0.2268,0.0258
S01,D025,840.74,33.6296,23.5407,57.1703,0.052126,0.088278,15.29,0.2136,0.0242
S01,D026,735.23,29.4092,20.5864,49.9956,0.045584,0.077199,13.37,0.2094,0.0237
S01,D027,753.62,30.1448,21.1014,51.2462,0.046724,0.07913,13.7,0.2101,0.0238
S01,D028,375.89,15.0356,10.5249,25.5605,0.023305,0.039468,6.83,0.195,0.0219
S01,D029,632.49,25.2996,17.7097,43.0093,0.039214,0.066411,11.5,0.2053,0.0232
S01,D030,304.67,12.1868,8.5308,20.7176,0.01889,0.03199,5.54,0.1922,0.0215
S01,D031,341.7,13.668,9.5676,23.2356,0.021185,0.035879,6.21,0.1937,0.0217
S01,D032,953.87,38.1548,26.7084,64.8632,0.05914,0.100156,17.34,0.2182,0.0248
S01,D033,862.51,34.5004,24.1503,58.6507,0.053476,0.090564,15.68,0.2145,0.0243
S01,D034,674.56,26.9824,18.8877,45.8701,0.041823,0.070829,12.26,0.207,0.0234
S01,D035,772.53,30.9012,21.6308,52.532,0.047897,0.081116,14.05,0.2109,0.0239
S01,D036,1058.09,42.3236,29.6265,71.9501,0.065602,0.111099,19.24,0.2223,0.0253
S01,D037,885.38,35.4152,24.7906,60.2058,0.054894,0.092965,16.1,0.2154,0.0244
S01,D038,1575.38,63.0152,44.1106,107.1258,0.097674,0.165415,28.64,0.243,0.0279
S01,D039,1566.01,62.6404,43.8483,106.4887,0.097093,0.164431,28.47,0.2426,0.0278
S01,D040,1502.2,60.088,42.0616,102.1496,0.093136,0.157731,27.31,0.2401,0.0275
S01,D041,1475.4,59.016,41.3112,100.3272,0.091475,0.154917,26.83,0.239,0.0274
S01,D042,1746.96,69.8784,48.9149,118.7933,0.108312,0.183431,31.76,0.2499,0.0287
S01,D043,1545.5,61.82,43.274,105.094,0.095821,0.162278,28.1,0.2418,0.0277
S01,D044,518.13,20.7252,14.5076,35.2328,0.032124,0.054404,9.42,0.2007,0.0226
S01,D045,313.56,12.5424,8.7797,21.3221,0.019441,0.032924,5.7,0.1925,0.0216
S01,D046,426.91,17.0764,11.9535,29.0299,0.026468,0.044826,7.76,0.1971,0.0221
S01,D047,527.51,21.1004,14.7703,35.8707,0.032706,0.055389,9.59,0.2011,0.0226
S01,D048,402.23,16.0892,11.2624,27.3516,0.024938,0.042234,7.31,0.1961,0.022
S01,D049,537.23,21.4892,15.0424,36.5316,0.033308,0.056409,9.77,0.2015,0.0227
S01,D050,643.49,25.7396,18.0177,43.7573,0.039896,0.067566,11.7,0.2057,0.0232
S01,D051,511.24,20.4496,14.3147,34.7643,0.031697,0.05368,9.3,0.2004,0.0226
S01,D052,820.95,32.838,22.9866,55.8246,0.050899,0.0862,14.93,0.2128,0.0241
S01,D053,964.42,38.5768,27.0038,65.5806,0.059794,0.101264,17.53,0.2186,0.0248
S01,D054,555.26,22.2104,15.5473,37.7577,0.034426,0.058302,10.1,0.2022,0.0228
S01,D055,1402.52,56.1008,39.2706,95.3714,0.086956,0.147265,25.5,0.2361,0.027
S01,D056,1345.29,53.8116,37.6681,91.4797,0.083408,0.141255,24.46,0.2338,0.0267
S01,D057,1455.31,58.2124,40.7487,98.9611,0.090229,0.152808,26.46,0.2382,0.0273
