dc_id,retailer_id,distance_km,cost_nonrefrig_per_unit,refrig_premium_per_unit,total_cost_refrig_per_unit,emit_nonrefrig_kgco2_per_unit,emit_refrig_kgco2_per_unit,travel_time_hrs,decay_nonrefrig,decay_refrig
D001,R001,25.67,1.0268,0.7188,1.7456,0.001592,0.002695,0.64,0.181,0.0201
D001,R002,11.54,0.4616,0.3231,0.7847,0.000715,0.001212,0.29,0.1805,0.0201
D001,R003,7.0,0.28,0.196,0.476,0.000434,0.000735,0.17,0.1803,0.02
D001,R004,49.27,1.9708,1.3796,3.3504,0.003055,0.005173,1.23,0.182,0.0202
D001,R005,30.58,1.2232,0.8562,2.0794,0.001896,0.003211,0.76,0.1812,0.0202
D001,R006,121.26,4.8504,3.3953,8.2457,0.007518,0.012732,3.03,0.1849,0.0206
D001,R007,89.15,3.566,2.4962,6.0622,0.005527,0.009361,2.23,0.1836,0.0204
D001,R008,68.78,2.7512,1.9258,4.677,0.004264,0.007222,1.72,0.1828,0.0203
D001,R009,116.55,4.662,3.2634,7.9254,0.007226,0.012238,2.91,0.1847,0.0206
D001,R010,125.19,5.0076,3.5053,8.5129,0.007762,0.013145,3.13,0.185,0.0206
D001,R011,713.02,28.5208,19.9646,48.4854,0.044207,0.074867,17.83,0.2085,0.0236
D001,R012,746.93,29.8772,20.914,50.7912,0.04631,0.078428,18.67,0.2099,0.0237
D001,R013,644.49,25.7796,18.0457,43.8253,0.039958,0.067671,16.11,0.2058,0.0232
D001,R014,695.31,27.8124,19.4687,47.2811,0.043109,0.073008,17.38,0.2078,0.0235
D001,R015,689.16,27.5664,19.2965,46.8629,0.042728,0.072362,17.23,0.2076,0.0234
D001,R016,155.77,6.2308,4.3616,10.5924,0.009658,0.016356,3.89,0.1862,0.0208
D001,R017,174.92,6.9968,4.8978,11.8946,0.010845,0.018367,4.37,0.187,0.0209
D001,R018,173.87,6.9548,4.8684,11.8232,0.01078,0.018256,4.35,0.187,0.0209
D001,R019,75.71,3.0284,2.1199,5.1483,0.004694,0.00795,1.89,0.183,0.0204
D001,R020,174.86,6.9944,4.8961,11.8905,0.010841,0.01836,4.37,0.187,0.0209
D001,R021,217.83,8.7132,6.0992,14.8124,0.013505,0.022872,5.45,0.1887,0.0211
D001,R022,306.15,12.246,8.5722,20.8182,0.018981,0.032146,7.65,0.1922,0.0215
D001,R023,312.95,12.518,8.7626,21.2806,0.019403,0.03286,7.82,0.1925,0.0216
D001,R024,317.83,12.7132,8.8992,21.6124,0.019705,0.033372,7.95,0.1927,0.0216
D001,R025,244.83,9.7932,6.8552,16.6484,0.015179,0.025707,6.12,0.1898,0.0212
D001,R026,243.64,9.7456,6.8219,16.5675,0.015106,0.025582,6.09,0.1897,0.0212
D001,R027,260.0,10.4,7.28,17.68,0.01612,0.0273,6.5,0.1904,0.0213
D001,R028,268.25,10.73,7.511,18.241,0.016632,0.028166,6.71,0.1907,0.0213
D001,R029,318.33,12.7332,8.9132,21.6464,0.019736,0.033425,7.96,0.1927,0.0216
D001,R030,347.01,13.8804,9.7163,23.5967,0.021515,0.036436,8.68,0.1939,0.0217
D001,R031,340.55,13.622,9.5354,23.1574,0.021114,0.035758,8.51,0.1936,0.0217
D001,R032,405.36,16.2144,11.3501,27.5645,0.025132,0.042563,10.13,0.1962,0.022
D001,R033,349.11,13.9644,9.7751,23.7395,0.021645,0.036657,8.73,0.194,0.0217
D001,R034,404.62,16.1848,11.3294,27.5142,0.025086,0.042485,10.12,0.1962,0.022
D001,R035,359.34,14.3736,10.0615,24.4351,0.022279,0.037731,8.98,0.1944,0.0218
D001,R036,580.89,23.2356,16.2649,39.5005,0.036015,0.060993,14.52,0.2032,0.0229
D001,R037,471.03,18.8412,13.1888,32.03,0.029204,0.049458,11.78,0.1988,0.0224
D001,R038,538.59,21.5436,15.0805,36.6241,0.033393,0.056552,13.46,0.2015,0.0227
D001,R039,569.93,22.7972,15.958,38.7552,0.035336,0.059843,14.25,0.2028,0.0228
D001,R040,543.96,21.7584,15.2309,36.9893,0.033726,0.057116,13.6,0.2018,0.0227
D001,R041,1217.94,48.7176,34.1023,82.8199,0.075512,0.127884,30.45,0.2287,0.0261
D001,R042,1193.24,47.7296,33.4107,81.1403,0.073981,0.12529,29.83,0.2277,0.026
D001,R043,1173.79,46.9516,32.8661,79.8177,0.072775,0.123248,29.34,0.227,0.0259
D001,R044,1141.56,45.6624,31.9637,77.6261,0.070777,0.119864,28.54,0.2257,0.0257
D001,R045,1150.94,46.0376,32.2263,78.2639,0.071358,0.120849,28.77,0.226,0.0258
D001,R046,1071.23,42.8492,29.9944,72.8436,0.066416,0.112479,26.78,0.2228,0.0254
D001,R047,1166.44,46.6576,32.6603,79.3179,0.072319,0.122476,29.16,0.2267,0.0258
D001,R048,1123.04,44.9216,31.4451,76.3667,0.069628,0.117919,28.08,0.2249,0.0256
D001,R049,1077.44,43.0976,30.1683,73.2659,0.066801,0.113131,26.94,0.2231,0.0254
D001,R050,1146.63,45.8652,32.1056,77.9708,0.071091,0.120396,28.67,0.2259,0.0257
D001,R051,1036.77,41.4708,29.0296,70.5004,0.06428,0.108861,25.92,0.2215,0.0252
D001,R052,1062.99,42.5196,29.7637,72.2833,0.065905,0.111614,26.57,0.2225,0.0253
D001,R053,1051.19,42.0476,29.4333,71.4809,0.065174,0.110375,26.28,0.222,0.0253
D001,R054,963.87,38.5548,26.9884,65.5432,0.05976,0.101206,24.1,0.2186,0.0248
D001,R055,1056.31,42.2524,29.5767,71.8291,0.065491,0.110913,26.41,0.2223,0.0253
D001,R056,1292.93,51.7172,36.202,87.9192,0.080162,0.135758,32.32,0.2317,0.0265
D001,R057,1299.98,51.9992,36.3994,88.3986,0.080599,0.136498,32.5,0.232,0.0265
D001,R058,1244.31,49.7724,34.8407,84.6131,0.077147,0.130653,31.11,0.2298,0.0262
D001,R059,1208.7,48.348,33.8436,82.1916,0.074939,0.126914,30.22,0.2283,0.026
D001,R060,1248.5,49.94,34.958,84.898,0.077407,0.131093,31.21,0.2299,0.0262
D001,R061,1109.35,44.374,31.0618,75.4358,0.06878,0.116482,27.73,0.2244,0.0255
D001,R062,1203.66,48.1464,33.7025,81.8489,0.074627,0.126384,30.09,0.2281,0.026
D001,R063,1184.24,47.3696,33.1587,80.5283,0.073423,0.124345,29.61,0.2274,0.0259
D001,R064,1161.52,46.4608,32.5226,78.9834,0.072014,0.12196,29.04,0.2265,0.0258
D001,R065,1193.59,47.7436,33.4205,81.1641,0.074003,0.125327,29.84,0.2277,0.026
D001,R066,1202.16,48.0864,33.6605,81.7469,0.074534,0.126227,30.05,0.2281,0.026
D001,R067,1228.09,49.1236,34.3865,83.5101,0.076142,0.128949,30.7,0.2291,0.0261
D001,R068,1244.9,49.796,34.8572,84.6532,0.077184,0.130715,31.12,0.2298,0.0262
D001,R069,1209.3,48.372,33.8604,82.2324,0.074977,0.126976,30.23,0.2284,0.026
D001,R070,1226.44,49.0576,34.3403,83.3979,0.076039,0.128776,30.66,0.2291,0.0261
D001,R071,1158.9,46.356,32.4492,78.8052,0.071852,0.121685,28.97,0.2264,0.0258
D001,R072,1246.02,49.8408,34.8886,84.7294,0.077253,0.130832,31.15,0.2298,0.0262
D001,R073,1240.11,49.6044,34.7231,84.3275,0.076887,0.130212,31.0,0.2296,0.0262
